#org1	org1_start	org1_end	org2	org2_start	org2_end	score	evalue
Organism_A	2454	9335	Organism_B	1000	4000	8	1.0E-6
Organism_A	19787	26159	Organism_B	12060	18102	20	3.0E-3
Organism_A	67094	70904	Organism_B	78308	72365	55	1.0E+1
Organism_A	9335	2454	Organism_B	17525	26048	98	1.0E-4
Organism_A	89175	91729	Organism_B	93483	95800	17	6.0E-9
Organism_A	37054	41000	Organism_B	31963	35129	85	1.0E+6
Organism_A	79330	83398	Organism_B	88747	91156	34	1.0E+3
Organism_A	48118	52392	Organism_B	48153	51001	22	1.0E-6
Organism_A	58118	62392	Organism_B	48153	51001	22	1.0E-6
Organism_A	3646	11165	Organism_B	1	8849	25	1.0E-6
Organism_A	2496	5785	Organism_C	3847	8242	84	1.0E-1
Organism_A	45190	63480	Organism_C	37740	51370	81	3.0E+6
Organism_A	87769	90978	Organism_C	85030	86955	99	1.0e-6
Organism_A	8379	10039	Organism_C	5576	6745	49	1.4E-2
Organism_A	78849	80452	Organism_C	96055	99938	65	4E-9
Organism_A	61276	67403	Organism_C	68992	76196	82	1.0E-6
Organism_A	29604	33621	Organism_C	41135	45305	9	1.0E-6
Organism_A	16211	18898	Organism_C	6715	8497	26	1.0E-5
Organism_A	20409	22484	Organism_C	6565	8479	23	1.0E-3
Organism_A	64145	73809	Organism_C	59974	65402	9	1.0E-8
Organism_A	46613	55573	Organism_C	38631	43775	85	1.0E+3
Organism_A	66074	70714	Organism_C	68785	72205	52	1.0e+3
Organism_B	45213	52754	Organism_C	37405	46727	58	1.8e+2
Organism_B	27358	32178	Organism_C	26494	29114	10	1.0e+1
Organism_B	9589	11311	Organism_C	21245	23741	6	4.0E-4
Organism_B	70604	75010	Organism_C	60830	58542	84	1.0e+2
Organism_B	9932	14178	Organism_C	18837	22617	17	1.9E+1
Organism_B	30304	41545	Organism_C	50091	67301	26	1.0e+2
Organism_B	58812	65419	Organism_C	40400	49052	17	6.0E-5
Organism_B	78725	84151	Organism_C	91968	82177	20	5.1E-3
Organism_B	92468	98370	Organism_C	90667	82891	7	2.0E-3
Organism_B	77793	80045	Organism_C	87836	92068	90	2E-1
